Book_name,Author,Rating,Book_genre_p,Book_genre_s,Book_ID
The Hunger Games,Suzanne Collins,4.33,Young Adult,Dystopia,1
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré ",4.5,Fantasy,Fiction,2
To Kill a Mockingbird,Harper Lee,4.28,Classics,Historical Fiction,3
Pride and Prejudice,"Jane Austen, Anna Quindlen ",4.26,Classics,Romance,4
Twilight,Stephenie Meyer,3.6,Young Adult,Romance,5
The Book Thief,Markus Zusak ,4.37,Historical Fiction,Young Adult,6
Animal Farm,"George Orwell, Russell Baker (Preface), C.M. Woodhouse ",3.95,Classics,Dystopia,7
The Chronicles of Narnia,"C.S. Lewis, Pauline Baynes ",4.26,Fantasy,Fiction,8
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,Fantasy,Classics,9
Gone with the Wind,Margaret Mitchell,4.3,Classics,Fiction,10
The Fault in Our Stars,John Green ,4.21,Young Adult,Fiction,11
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,Science Fiction,Humor,12
The Giving Tree,Shel Silverstein,4.37,Childrens,Classics,13
Wuthering Heights,"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel ",3.86,Classics,Romance,14
The Da Vinci Code,Dan Brown ,3.86,Fiction,Thriller,15
Memoirs of a Geisha,Arthur Golden,4.12,Fiction,Romance,16
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides ",4.08,Classics,Horror,17
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel , Martin Gardner ",4.06,Classics,Fiction,18
Jane Eyre,"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman ",4.13,Classics,Romance,19
Les Misérables,"Victor Hugo, Lee Fahnestock , Norman MacAfee ",4.18,Classics,Historical Fiction,20
Fahrenheit 451,Ray Bradbury,3.99,Classics,Science Fiction,21
Divergent,Veronica Roth ,4.19,Young Adult,Fiction,22
Lord of the Flies,William Golding,3.69,Classics,Young Adult,23
Romeo and Juliet,"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander ",3.75,Classics,Fiction,24
The Alchemist,"Paulo Coelho , Alan R. Clarke , James Noel Smith ",3.88,Fiction,Fantasy,25
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff ",4.22,Classics,Russia,26
The Perks of Being a Wallflower,Stephen Chbosky,4.2,Young Adult,Contemporary,27
The Great Gatsby,"F. Scott Fitzgerald, Francis Scott Fitzgerald",3.92,Classics,School,28
City of Bones,Cassandra Clare ,4.1,Fantasy,Paranormal,29
Ender's Game,"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)",4.3,Science Fiction,Young Adult,30
The Help,Kathryn Stockett ,4.47,Fiction,Historical,31
Anne of Green Gables,L.M. Montgomery,4.26,Classics,Young Adult,32
Harry Potter and the Sorcerer's Stone,"J.K. Rowling, Mary GrandPré ",4.47,Fantasy,Young Adult,33
The Little Prince,"Antoine de Saint-Exupéry, Richard Howard , Ivan Minatti , Nguyễn Thành Vũ ",4.31,Classics,Fantasy,34
Charlotte's Web,"E.B. White, Garth Williams , Rosemary Wells ",4.17,Classics,Fiction,35
